Category,Country,Continent,Year,Usage,FossilType,Measurement,Latitude,Longitude,iso_alpha
Oil Production,Colombia,S. & Cent. America,1965,10.6545456,Oil,Million tonnes,4.570868,-74.297333,COL
Oil Production,Ecuador,S. & Cent. America,1965,0.428781204,Oil,Million tonnes,-1.831239,-78.183406,ECU
Oil Production,Peru,S. & Cent. America,1965,3.394165088,Oil,Million tonnes,-9.189967,-75.015152,PER
Oil Production,Trinidad & Tobago,S. & Cent. America,1965,6.67145979,Oil,Million tonnes,10.691803,-61.222503,TTO
Oil Production,Venezuela,S. & Cent. America,1965,184.1139618,Oil,Million tonnes,6.42375,-66.58973,VEN
Oil Production,Italy,Europe,1965,2.278,Oil,Million tonnes,41.87194,12.56738,ITA
Oil Production,Romania,Europe,1965,12.821,Oil,Million tonnes,45.943161,24.96676,ROU
Oil Production,United Kingdom,Europe,1965,0.084,Oil,Million tonnes,55.378051,-3.435973,GBR
Oil Production,Iran,Middle East,1965,95.66208791,Oil,Million tonnes,32.427908,53.688046,IRN
Oil Production,Iraq,Middle East,1965,64.6754386,Oil,Million tonnes,33.223191,43.679291,IRQ
Oil Production,Kuwait,Middle East,1965,119.0113619,Oil,Million tonnes,29.31166,47.481766,KWT
Oil Production,Qatar,Middle East,1965,11.60532744,Oil,Million tonnes,25.3182235,-51.20661467,QAT
Oil Production,Saudi Arabia,Middle East,1965,111.0241758,Oil,Million tonnes,23.885942,45.079162,SAU
Oil Production,United Arab Emirates,Middle East,1965,13.66631286,Oil,Million tonnes,23.7479278,-54.10908829,ARE
Oil Production,Algeria,Africa,1965,26.13931234,Oil,Million tonnes,28.033886,1.659626,DZA
Oil Production,Angola,Africa,1965,0.655,Oil,Million tonnes,-11.202692,17.873887,AGO
Oil Production,Egypt,Africa,1965,6.478,Oil,Million tonnes,26.820553,30.802498,EGY
Oil Production,Gabon,Africa,1965,1.265,Oil,Million tonnes,-0.803689,11.609444,GAB
Oil Production,Libya,Africa,1965,57.98177083,Oil,Million tonnes,26.3351,17.228331,LBY
Oil Production,Nigeria,Africa,1965,13.50647773,Oil,Million tonnes,9.081999,8.675277,NGA
Oil Production,Australia,Asia Pacific,1965,0.346205962,Oil,Million tonnes,-25.274398,133.775136,AUS
Oil Production,Brunei,Asia Pacific,1965,3.964974114,Oil,Million tonnes,4.495153165,114.626025,BRN
Oil Production,China,Asia Pacific,1965,11.31,Oil,Million tonnes,35.86166,104.195397,CHN
Oil Production,India,Asia Pacific,1965,3.022,Oil,Million tonnes,20.593684,78.96288,IND
Oil Production,Indonesia,Asia Pacific,1965,24.53526971,Oil,Million tonnes,-0.789275,113.921327,IDN
Oil Production,Malaysia,Asia Pacific,1965,0.047774869,Oil,Million tonnes,4.210484,101.975766,MYS
Oil Consumption,Canada,North America,1966,2.438144002,Oil,Exajoules,56.130366,-106.346771,CAN
Oil Consumption,Mexico,North America,1966,0.673178278,Oil,Exajoules,23.634501,-102.552784,MEX
Oil Consumption,US,North America,1966,24.23248256,Oil,Exajoules,37.09024,-95.712891,USA
Oil Consumption,Argentina,S. & Cent. America,1966,1.021990601,Oil,Exajoules,-38.416097,-63.616672,ARG
Oil Consumption,Brazil,S. & Cent. America,1966,0.697671357,Oil,Exajoules,-14.235004,-51.92528,BRA
Oil Consumption,Chile,S. & Cent. America,1966,0.163973838,Oil,Exajoules,-35.675147,-71.542969,CHL
Oil Consumption,Colombia,S. & Cent. America,1966,0.188918956,Oil,Exajoules,4.570868,-74.297333,COL
Oil Consumption,Ecuador,S. & Cent. America,1966,0.029771098,Oil,Exajoules,-1.831239,-78.183406,ECU
Oil Consumption,Peru,S. & Cent. America,1966,0.201463477,Oil,Exajoules,-9.189967,-75.015152,PER
Oil Consumption,Trinidad & Tobago,S. & Cent. America,1966,0.080473081,Oil,Exajoules,10.691803,-61.222503,TTO
Oil Consumption,Venezuela,S. & Cent. America,1966,0.396379073,Oil,Exajoules,6.42375,-66.58973,VEN
Oil Consumption,Austria,Europe,1966,0.25843989,Oil,Exajoules,47.516231,14.550072,AUT
Oil Consumption,Belgium,Europe,1966,0.692137141,Oil,Exajoules,50.503887,4.469936,BEL
Oil Consumption,Bulgaria,Europe,1966,0.17954679,Oil,Exajoules,42.733883,25.48583,BGR
Oil Consumption,Cyprus,Europe,1966,0.019219077,Oil,Exajoules,35.08620251,-33.15948469,CYP
Oil Consumption,Czech Republic,Europe,1966,0.186991122,Oil,Exajoules,49.817492,15.472962,CZE
Oil Consumption,Denmark,Europe,1966,0.504855738,Oil,Exajoules,56.26392,9.501785,DNK
Oil Consumption,Finland,Europe,1966,0.2947128,Oil,Exajoules,61.92411,25.748151,FIN
Oil Consumption,France,Europe,1966,2.459242879,Oil,Exajoules,46.227638,2.213749,FRA
Oil Consumption,Germany,Europe,1966,4.110595753,Oil,Exajoules,51.165691,10.451526,DEU
Oil Consumption,Greece,Europe,1966,0.205475704,Oil,Exajoules,39.074208,21.824312,GRC
Oil Consumption,Hungary,Europe,1966,0.17505437,Oil,Exajoules,47.162494,19.503304,HUN
Oil Consumption,Iceland,Europe,1966,0.021784173,Oil,Exajoules,64.963051,-19.020835,ISL
Oil Consumption,Ireland,Europe,1966,0.114773583,Oil,Exajoules,53.41291,-8.24389,IRL
Oil Consumption,Italy,Europe,1966,2.424364863,Oil,Exajoules,41.87194,12.56738,ITA
Oil Consumption,Luxembourg,Europe,1966,0.040282462,Oil,Exajoules,49.61682412,6.124983395,LUX
Oil Consumption,Netherlands,Europe,1966,1.155158762,Oil,Exajoules,52.132633,5.291266,NLD
Oil Consumption,Norway,Europe,1966,0.245104246,Oil,Exajoules,60.472024,8.468946,NOR
Oil Consumption,Poland,Europe,1966,0.2412307,Oil,Exajoules,51.919438,19.145136,POL
Oil Consumption,Portugal,Europe,1966,0.11265312,Oil,Exajoules,39.399872,-8.224454,PRT
Oil Consumption,Romania,Europe,1966,0.31729449,Oil,Exajoules,45.943161,24.96676,ROU
Oil Consumption,Slovakia,Europe,1966,0.107463348,Oil,Exajoules,48.17856255,-17.37553815,SVK
Oil Consumption,Spain,Europe,1966,0.708600324,Oil,Exajoules,40.463667,-3.74922,ESP
Oil Consumption,Sweden,Europe,1966,0.93476403,Oil,Exajoules,60.128161,18.643501,SWE
Oil Consumption,Switzerland,Europe,1966,0.368885046,Oil,Exajoules,46.818188,8.227512,CHE
Oil Consumption,Turkey,Europe,1966,0.180418001,Oil,Exajoules,38.963745,35.243322,TUR
